sample_definition,region,log_mstar_lo,log_mstar_hi,n_selected_raw,n,score_available,target_variance,log_mgas_variance,log_gas_fraction_variance,l3_r2,l3_plus_gas_mass_r2,gas_mass_marginal_r2,l3_plus_gas_fraction_r2,gas_fraction_marginal_r2,l3_plus_all_internal_r2,all_internal_marginal_r2,l3_plus_internal_excluding_gas_r2,internal_excluding_gas_marginal_r2,l3_plus_sfr_r2,sfr_marginal_r2,l3_plus_gas_mass_and_sfr_r2,gas_mass_and_sfr_marginal_r2,dominant_internal_feature,dominant_candidate_feature,carrier_ranking_method,gas_mass_rank,gas_leave_one_out_r2_drop,gas_fraction_rank,gas_fraction_rank_method,sfr_rank,single_marginal__int_log_mstar,single_marginal__int_log_mgas,single_marginal__int_log_sfr,single_marginal__int_log_ssfr,single_marginal__int_log_rstar,single_marginal__int_metallicity,single_marginal__int_log_gas_fraction,fraction_sfr_floor,fraction_gas_particles_lt_100,median_gas_particles,p16_gas_particles,p84_gas_particles,median_star_particles,p16_star_particles,p84_star_particles
log_sfr_gt_minus5,onset,9.55,9.85,1290,1289,True,0.052322452028234365,0.030246567748855754,0.030076796192971912,0.2081794837304099,0.26919618631277475,0.06101670258236486,0.2926189385478851,0.08443945481747522,0.29831690853929993,0.09013742480889003,0.2360942875611106,0.02791480383070069,0.20690037888367724,-0.0012791048467326593,0.2686182562971073,0.060438772566697385,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.06222262097818934,1.0,single_feature_candidate_marginal,4.0,0.029685280475894804,0.06101670258236486,-0.0012791048467326593,0.0038316709059144083,-0.0014779969021267991,0.0011488623408995036,0.08443945481747522,0.0,0.0,2574.0,1761.08,3838.960000000001,321.0,254.0,410.0
log_sfr_gt_minus5,core,9.85,10.55,1969,1965,True,0.04581934258570199,0.055636376649162086,0.04263820127590086,0.13429719707811455,0.19664853461500548,0.06235133753689093,0.2833537246522745,0.14905652757415994,0.29398852858599717,0.15969133150788262,0.2747973587721517,0.14050016169403717,0.13706419115882448,0.0027669940807099336,0.1986801323966519,0.06438293531853734,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.019191169813845443,1.0,single_feature_candidate_marginal,4.0,0.11929062478646385,0.06235133753689093,0.0027669940807099336,0.023405293717629783,0.011249841095884894,0.07597389568461749,0.14905652757415994,0.0,0.0,5115.0,2879.7200000000003,9143.76,932.0,583.0,1780.6
log_sfr_gt_minus5,upper_transition,10.55,10.75,287,287,True,0.031119895306186415,0.0573569386924324,0.05820173334160609,0.15255944181899275,0.17589754911700958,0.02333810729801683,0.18207838705184326,0.029518945232850508,0.17519573040676759,0.022636288587774833,0.18988810512911966,0.03732866331012691,0.16267570307283438,0.01011626125384163,0.16400453056549008,0.011445088746497328,int_log_mstar,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,6.0,-0.014692374722352075,1.0,single_feature_candidate_marginal,5.0,-0.0031319579750335447,0.02333810729801683,0.01011626125384163,0.011517810080494073,0.003187685335503593,-0.003002605559479038,0.029518945232850508,0.0,0.0,11575.0,6244.44,18425.079999999994,2969.0,2585.76,3555.479999999999
log_sfr_gt_minus5,high,10.75,11.2,251,251,True,0.06669363503852296,0.0810286061830839,0.06599378879197226,0.061532436860717146,0.058799248291503625,-0.002733188569213521,0.06383626250445676,0.0023038256437396126,0.06093230053159855,-0.0006001363291185946,0.060842712564991255,-0.0006897242957258909,0.06275871836789057,0.001226281507173424,0.06226194616510026,0.0007295093043831122,int_log_mstar,int_log_mstar,leave_one_out_drop_from_l3_plus_all_internal,2.0,8.958796660729629e-05,2.0,single_feature_candidate_marginal,3.0,0.00540155416784753,-0.002733188569213521,0.001226281507173424,0.0003765858932033919,-0.0034386645265359617,-0.00511388675537492,0.0023038256437396126,0.0,0.0,16527.0,9842.0,35119.0,5407.0,4367.0,8013.0
gas_particles_ge_100_and_log_sfr_gt_minus5,low,9.0,9.3,1854,1851,True,0.07427590605324386,0.030338677263068027,0.029661646159317878,0.15265437836308055,0.21581292482728065,0.0631585464642001,0.21763534540951318,0.06498096704643264,0.22647638082478436,0.07382200246170381,0.16124228743955385,0.008587909076473305,0.15319345622920932,0.0005390778661287787,0.21287968073719635,0.0602253023741158,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.06523409338523051,1.0,single_feature_candidate_marginal,3.0,0.0058081173104522765,0.0631585464642001,0.0005390778661287787,0.004676649069273092,-0.00022885457740626225,0.0025907795775633735,0.06498096704643264,0.0,0.0,1201.0,809.0,1808.0,86.0,68.0,111.0
gas_particles_ge_100_and_log_sfr_gt_minus5,pre_edge,9.3,9.55,1278,1275,True,0.05226088995718772,0.026977434647397325,0.02593162967911614,0.18994048112303177,0.26897092761472646,0.07903044649169469,0.28355543955606943,0.09361495843303766,0.293340004483572,0.10339952336054023,0.2218298630381273,0.03188938191509552,0.19902818289571458,0.00908770177268281,0.26901511911853665,0.07907463799550488,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.07151014144544471,1.0,single_feature_candidate_marginal,4.0,0.016208931350881833,0.07903044649169469,0.00908770177268281,0.01881602122948514,0.00017371348378669715,0.006803379363442552,0.09361495843303766,0.0,0.0,1745.0,1176.0,2519.3199999999997,169.0,137.84,207.0
gas_particles_ge_100_and_log_sfr_gt_minus5,onset,9.55,9.85,1290,1289,True,0.052322452028234365,0.030246567748855754,0.030076796192971912,0.2081794837304099,0.26919618631277475,0.06101670258236486,0.2926189385478851,0.08443945481747522,0.29831690853929993,0.09013742480889003,0.2360942875611106,0.02791480383070069,0.20690037888367724,-0.0012791048467326593,0.2686182562971073,0.060438772566697385,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.06222262097818934,1.0,single_feature_candidate_marginal,4.0,0.029685280475894804,0.06101670258236486,-0.0012791048467326593,0.0038316709059144083,-0.0014779969021267991,0.0011488623408995036,0.08443945481747522,0.0,0.0,2574.0,1761.08,3838.960000000001,321.0,254.0,410.0
gas_particles_ge_100_and_log_sfr_gt_minus5,core,9.85,10.55,1969,1965,True,0.04581934258570199,0.055636376649162086,0.04263820127590086,0.13429719707811455,0.19664853461500548,0.06235133753689093,0.2833537246522745,0.14905652757415994,0.29398852858599717,0.15969133150788262,0.2747973587721517,0.14050016169403717,0.13706419115882448,0.0027669940807099336,0.1986801323966519,0.06438293531853734,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1.0,0.019191169813845443,1.0,single_feature_candidate_marginal,4.0,0.11929062478646385,0.06235133753689093,0.0027669940807099336,0.023405293717629783,0.011249841095884894,0.07597389568461749,0.14905652757415994,0.0,0.0,5115.0,2879.7200000000003,9143.76,932.0,583.0,1780.6
gas_particles_ge_100_and_log_sfr_gt_minus5,upper_transition,10.55,10.75,287,287,True,0.031119895306186415,0.0573569386924324,0.05820173334160609,0.15255944181899275,0.17589754911700958,0.02333810729801683,0.18207838705184326,0.029518945232850508,0.17519573040676759,0.022636288587774833,0.18988810512911966,0.03732866331012691,0.16267570307283438,0.01011626125384163,0.16400453056549008,0.011445088746497328,int_log_mstar,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,6.0,-0.014692374722352075,1.0,single_feature_candidate_marginal,5.0,-0.0031319579750335447,0.02333810729801683,0.01011626125384163,0.011517810080494073,0.003187685335503593,-0.003002605559479038,0.029518945232850508,0.0,0.0,11575.0,6244.44,18425.079999999994,2969.0,2585.76,3555.479999999999
gas_particles_ge_100_and_log_sfr_gt_minus5,high,10.75,11.2,251,251,True,0.06669363503852296,0.0810286061830839,0.06599378879197226,0.061532436860717146,0.058799248291503625,-0.002733188569213521,0.06383626250445676,0.0023038256437396126,0.06093230053159855,-0.0006001363291185946,0.060842712564991255,-0.0006897242957258909,0.06275871836789057,0.001226281507173424,0.06226194616510026,0.0007295093043831122,int_log_mstar,int_log_mstar,leave_one_out_drop_from_l3_plus_all_internal,2.0,8.958796660729629e-05,2.0,single_feature_candidate_marginal,3.0,0.00540155416784753,-0.002733188569213521,0.001226281507173424,0.0003765858932033919,-0.0034386645265359617,-0.00511388675537492,0.0023038256437396126,0.0,0.0,16527.0,9842.0,35119.0,5407.0,4367.0,8013.0
