sample_definition,log_mstar_lo,log_mstar_hi,window_center,window_width,n,all_internal_marginal_r2,gas_mass_marginal_r2,dominant_internal_feature,dominant_candidate_feature,gas_mass_rank,gas_leave_one_out_r2_drop,gas_fraction_rank,sfr_rank
full_sample,9.3,10.0,9.65,0.6999999999999993,3059,0.13055816115723118,0.07566289159157594,int_log_mgas,int_log_gas_fraction,1,0.06642851618971243,1,4
full_sample,9.3,10.1,9.7,0.7999999999999989,3410,0.13648708053641018,0.07602387232619434,int_log_mgas,int_log_gas_fraction,1,0.061892663561531835,1,3
full_sample,9.3,10.2,9.75,0.8999999999999986,3706,0.13823116511760608,0.07267458627865156,int_log_mgas,int_log_gas_fraction,1,0.05540303061279178,1,3
full_sample,9.3,10.3,9.8,1.0,3952,0.13753998384334049,0.0704664927433585,int_log_mgas,int_log_gas_fraction,1,0.05037574299799735,1,4
full_sample,9.3,10.4,9.850000000000001,1.0999999999999996,4197,0.14018502173168154,0.06652620419625288,int_log_mgas,int_log_gas_fraction,1,0.04565467444786114,1,2
full_sample,9.3,10.5,9.9,1.1999999999999993,4463,0.1364287255030149,0.05654153972373535,int_log_mgas,int_log_gas_fraction,1,0.03657260370968046,1,2
full_sample,9.3,10.55,9.925,1.25,4611,0.1334113928132372,0.05313739343208368,int_log_mgas,int_log_gas_fraction,1,0.03281505151496572,1,2
full_sample,9.3,10.6,9.95,1.299999999999999,4744,0.1351693236311106,0.0454785558182178,int_log_mgas,int_log_gas_fraction,1,0.028762825318322638,1,2
full_sample,9.3,10.7,10.0,1.3999999999999986,4932,0.13158307970936917,0.03798030226185839,int_log_mgas,int_log_gas_fraction,1,0.021704766659303043,1,2
full_sample,9.3,10.75,10.025,1.4499999999999993,5029,0.13086558770773737,0.03597505619769942,int_log_mgas,int_log_gas_fraction,1,0.019561044507577452,1,2
full_sample,9.3,10.8,10.05,1.5,5109,0.12642256476513103,0.03479443457005871,int_log_mgas,int_log_gas_fraction,1,0.016428436510159128,1,4
full_sample,9.4,9.8,9.600000000000001,0.40000000000000036,1860,0.08996508669534542,0.061815347593401626,int_log_mgas,int_log_gas_fraction,1,0.060537655970293036,1,3
full_sample,9.4,9.9,9.65,0.5,2211,0.11045819851532701,0.06926087278449145,int_log_mgas,int_log_gas_fraction,1,0.06316947756895275,1,4
full_sample,9.4,10.0,9.7,0.5999999999999996,2529,0.12382777368954512,0.07264210507198948,int_log_mgas,int_log_gas_fraction,1,0.06063680298877969,1,3
full_sample,9.4,10.1,9.75,0.6999999999999993,2880,0.13259730944413692,0.07172679119425457,int_log_mgas,int_log_gas_fraction,1,0.05554602979367834,1,3
