sample_definition,log_mstar_lo,log_mstar_hi,window_center,window_width,bootstrap_mode,n,score_available,target_variance,log_mgas_variance,log_gas_fraction_variance,l3_r2,l3_plus_gas_mass_r2,gas_mass_marginal_r2,l3_plus_gas_fraction_r2,gas_fraction_marginal_r2,l3_plus_all_internal_r2,all_internal_marginal_r2,l3_plus_internal_excluding_gas_r2,internal_excluding_gas_marginal_r2,l3_plus_sfr_r2,sfr_marginal_r2,l3_plus_gas_mass_and_sfr_r2,gas_mass_and_sfr_marginal_r2,dominant_internal_feature,dominant_candidate_feature,carrier_ranking_method,gas_mass_rank,gas_leave_one_out_r2_drop,gas_fraction_rank,gas_fraction_rank_method,sfr_rank,single_marginal__int_log_mstar,single_marginal__int_log_mgas,single_marginal__int_log_sfr,single_marginal__int_log_ssfr,single_marginal__int_log_rstar,single_marginal__int_metallicity,single_marginal__int_log_gas_fraction,gas_mass_marginal_ci_lo,gas_mass_marginal_ci_hi,all_internal_marginal_ci_lo,all_internal_marginal_ci_hi
gas_particles_ge_100,9.2,10.55,9.875,1.3500000000000014,paired_bootstrap_24,5199,True,0.057244993342911055,0.08559852792672064,0.060384420817136956,0.17193065062342702,0.2222188248714684,0.050288174248041384,0.30003068303760977,0.12810003241418275,0.30377219511566567,0.13184154449223864,0.26931174875547964,0.09738109813205262,0.17589843419857232,0.003967783575145295,0.230802361994435,0.05887171137100797,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.034460446360186026,1,single_feature_candidate_marginal,2,0.07931829191306469,0.050288174248041384,0.003967783575145295,0.014529378000330134,0.0007173012067888118,0.051994007629407674,0.12810003241418275,0.040068802433569195,0.054510793854341474,0.11291409455875867,0.14212817107669107
gas_particles_ge_100,9.2,10.75,9.975,1.5500000000000007,paired_bootstrap_24,5617,True,0.05925522983649578,0.1007889622576369,0.07588593992665048,0.20516673140924171,0.23961588642007844,0.03444915501083673,0.32265649434268073,0.11748976293343902,0.3297045266304378,0.1245377952211961,0.30807753886815836,0.10291080745891665,0.20953199147986395,0.00436526007062224,0.247024031165033,0.04185729975579128,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.021626987762279448,1,single_feature_candidate_marginal,2,0.08423511178097218,0.03444915501083673,0.00436526007062224,0.012670192427789745,0.0005233693066394873,0.05222779958456439,0.11748976293343902,0.02928744910767808,0.043421110111324955,0.10931558201975446,0.13809767891370794
gas_particles_ge_100,9.3,10.55,9.925,1.25,paired_bootstrap_24,4611,True,0.053376100139355925,0.07945363766261912,0.05851800276173989,0.1931399832566447,0.24627737668872837,0.05313739343208368,0.32281398358412006,0.12967400032747536,0.3265513760698819,0.1334113928132372,0.29373632455491616,0.10059634129827147,0.19805581134516664,0.004915828088521951,0.2558779805413532,0.0627379972847085,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.03281505151496572,1,single_feature_candidate_marginal,2,0.08147129699512204,0.05313739343208368,0.004915828088521951,0.01530765930529368,0.0013863099889774577,0.05364403010959362,0.12967400032747536,0.04504692488688791,0.06548106999058026,0.11622778001532927,0.15107628137378692
gas_particles_ge_100,9.3,10.75,10.025,1.4499999999999993,paired_bootstrap_24,5029,True,0.055529621792365653,0.09419083478528231,0.07417728097322586,0.2141386290521025,0.25011368524980193,0.03597505619769942,0.3353631051896838,0.1212244761375813,0.3450042167598399,0.13086558770773737,0.32544317225226244,0.11130454320015992,0.21886859584136956,0.004729966789267043,0.25740610581371476,0.043267476761612245,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.019561044507577452,1,single_feature_candidate_marginal,2,0.09074500176256906,0.03597505619769942,0.004729966789267043,0.013306951569821701,0.0011950094630456543,0.056059491628453695,0.1212244761375813,0.029139653901319826,0.04382871167755091,0.1192908668374984,0.14379799305441773
gas_particles_ge_100,9.4,10.55,9.975000000000001,1.1500000000000004,paired_bootstrap_24,4081,True,0.05174238124076803,0.0744538939790057,0.05732183205795938,0.19332269739864835,0.24366584934461769,0.05034315194596933,0.3249932791441245,0.13167058174547616,0.32866037497725087,0.13533767757860252,0.3032843467104101,0.10996164931176175,0.19854071579309762,0.00521801839444927,0.2520977908027483,0.05877509340409995,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.025376028266840767,1,single_feature_candidate_marginal,2,0.0903409919736333,0.05034315194596933,0.00521801839444927,0.016293308937690237,0.0010350135870163257,0.05387574711784501,0.13167058174547616,0.03470497313780894,0.0631583274724359,0.11280793763757896,0.15535633411793925
gas_particles_ge_100,9.4,10.75,10.075,1.3499999999999996,paired_bootstrap_24,4499,True,0.05390453070778267,0.08876573056591133,0.07314207561095092,0.21727086977657165,0.2511772638678685,0.03390639409129684,0.3409469960520666,0.12367612627549493,0.3538450289474745,0.13657415917090285,0.33964151570912193,0.12237064593255029,0.2221285163082638,0.004857646531692156,0.25757751382661775,0.04030664405004611,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.01420351323835256,1,single_feature_candidate_marginal,2,0.10243099049366114,0.03390639409129684,0.004857646531692156,0.01347310036897928,0.0012641528653244138,0.05774698818533555,0.12367612627549493,0.02460790219806578,0.04055149869596095,0.1192782797387915,0.1587883000686887
gas_particles_ge_100,9.5,10.55,10.025,1.0500000000000007,paired_bootstrap_24,3573,True,0.05156843484817967,0.0693241330355615,0.056845362598404434,0.19737652883329035,0.24808763413134888,0.05071110529805853,0.3298997812678229,0.13252325243453253,0.3328496525330701,0.13547312369977974,0.31014457299315185,0.1127680441598615,0.20339230109320822,0.006015772259917868,0.25655847874175225,0.0591819499084619,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.022705079539918238,1,single_feature_candidate_marginal,2,0.09419122876061312,0.05071110529805853,0.006015772259917868,0.01621456516904682,0.002818795445123229,0.05350877216216046,0.13252325243453253,0.039646855811323704,0.06506695343551061,0.1221648048501285,0.1546684725710186
gas_particles_ge_100,9.5,10.75,10.125,1.25,paired_bootstrap_24,3991,True,0.053689467088206634,0.08325252379242264,0.07287757126233302,0.2138134840792107,0.24752120501171757,0.033707720932506874,0.33923846030125343,0.12542497622204274,0.3563647318590486,0.1425512477798379,0.34451261750267226,0.13069913342346157,0.2193565268726624,0.005543042793451719,0.25422521731095327,0.040411733231742575,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.011852114356376342,1,single_feature_candidate_marginal,3,0.11128104871012473,0.033707720932506874,0.005543042793451719,0.013914102646106374,0.002267909090266418,0.06057438598442938,0.12542497622204274,0.02473096375552012,0.041929534699407585,0.12168361968401392,0.1631159739047466
gas_particles_ge_100,9.55,10.55,10.05,1.0,paired_bootstrap_24,3336,True,0.052028296410966075,0.0672761857660898,0.056564164484788536,0.19020993322017304,0.23981730528844425,0.049607372068271205,0.32655850173158424,0.1363485685114112,0.32976674723793986,0.13955681401776682,0.30925775766431085,0.1190478244441378,0.19635932103033124,0.006149387810158197,0.2488889312024399,0.05867899798226686,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.02050898957362901,1,single_feature_candidate_marginal,3,0.09915680876867011,0.049607372068271205,0.006149387810158197,0.016559599505027695,0.0034940605130586444,0.056139454613829215,0.1363485685114112,0.04020337422354475,0.061616574660056836,0.12112144476609467,0.16061548103533002
gas_particles_ge_100,9.55,10.75,10.15,1.1999999999999993,paired_bootstrap_24,3754,True,0.05402723124126286,0.08105050632244644,0.07270065264191884,0.21338486417779906,0.24605395813158482,0.032669093953785755,0.3378660388067562,0.12448117462895714,0.3559233013202618,0.14253843714246273,0.34521667684416374,0.13183181266636468,0.21881614562376486,0.005431281445965802,0.25199513472589824,0.03861027054809918,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.010706624476098048,1,single_feature_candidate_marginal,3,0.11366413187306568,0.032669093953785755,0.005431281445965802,0.013563867239976324,0.0020101941795435396,0.060049553744125905,0.12448117462895714,0.023779068249960147,0.04390069442083066,0.12664472984142972,0.16553123470958428
