suite,quantity,log_mstar_lo,log_mstar_hi,log_mstar_center,n,p16,median,p84
SIMBA,log_gas_fraction,9.3,9.450000000000001,9.375,385,0.9195860290527343,1.137582778930664,1.3469516372680663
SIMBA,log_ssfr,9.3,9.450000000000001,9.375,385,-9.485889739990235,-9.288026809692383,-9.100801544189453
SIMBA,log_gas_fraction,9.450000000000001,9.600000000000001,9.525000000000002,355,0.8646569442749024,1.0553922653198242,1.2345962524414062
SIMBA,log_ssfr,9.450000000000001,9.600000000000001,9.525000000000002,355,-9.480580177307129,-9.27983570098877,-9.075020904541015
SIMBA,log_gas_fraction,9.600000000000001,9.750000000000002,9.675,362,0.7325370025634765,0.9675993919372559,1.1852670288085938
SIMBA,log_ssfr,9.600000000000001,9.750000000000002,9.675,362,-9.53704402923584,-9.329431056976318,-9.121539764404297
SIMBA,log_gas_fraction,9.750000000000002,9.900000000000002,9.825000000000003,388,0.6913634872436524,0.9289798736572266,1.107073097229004
SIMBA,log_ssfr,9.750000000000002,9.900000000000002,9.825000000000003,388,-9.752551002502441,-9.454401016235352,-9.231216430664062
SIMBA,log_gas_fraction,9.900000000000002,10.050000000000002,9.975000000000001,267,0.6170874404907226,0.8381175994873047,1.0542352676391602
SIMBA,log_ssfr,9.900000000000002,10.050000000000002,9.975000000000001,267,-9.75722843170166,-9.496448516845703,-9.189865760803222
SIMBA,log_gas_fraction,10.050000000000002,10.200000000000003,10.125000000000004,237,0.2466703414916992,0.7300453186035156,0.9656148147583006
SIMBA,log_ssfr,10.050000000000002,10.200000000000003,10.125000000000004,237,-9.907298355102538,-9.477319717407227,-9.16175594329834
SIMBA,log_gas_fraction,10.200000000000003,10.350000000000003,10.275000000000002,261,0.11954402923583986,0.5397090911865234,0.8604888916015625
SIMBA,log_ssfr,10.200000000000003,10.350000000000003,10.275000000000002,261,-10.289380264282226,-9.552733421325684,-9.166262435913087
SIMBA,log_gas_fraction,10.350000000000003,10.500000000000004,10.425000000000004,249,-0.0348944091796875,0.2888021469116211,0.6370113754272461
SIMBA,log_ssfr,10.350000000000003,10.500000000000004,10.425000000000004,249,-10.651018486022949,-9.86552906036377,-9.374497451782227
SIMBA,log_gas_fraction,10.500000000000004,10.650000000000004,10.575000000000003,211,-0.06750640869140623,0.24526691436767578,0.5328777313232422
SIMBA,log_ssfr,10.500000000000004,10.650000000000004,10.575000000000003,211,-10.791118621826172,-9.919784545898438,-9.433686828613281
SIMBA,log_gas_fraction,10.650000000000004,10.800000000000004,10.725000000000005,158,-0.08095481872558592,0.1501755714416504,0.4260072708129883
SIMBA,log_ssfr,10.650000000000004,10.800000000000004,10.725000000000005,158,-10.845292663574218,-9.969871997833252,-9.627117347717284
SIMBA,log_gas_fraction,10.800000000000004,10.950000000000005,10.875000000000004,142,-0.23014549255371095,0.1463336944580078,0.35428974151611325
SIMBA,log_ssfr,10.800000000000004,10.950000000000005,10.875000000000004,142,-10.771411170959473,-10.12422513961792,-9.718565635681152
SIMBA,log_gas_fraction,10.950000000000005,11.100000000000005,11.025000000000006,100,-0.18635643005371094,0.042037010192871094,0.35066017150878903
SIMBA,log_ssfr,10.950000000000005,11.100000000000005,11.025000000000006,100,-13.11524299621582,-10.373359203338623,-9.977310523986816
SIMBA,log_gas_fraction,11.100000000000005,11.250000000000005,11.175000000000004,76,-0.28039073944091797,0.09713125228881836,0.3521270751953125
