variant,region,n,contrast,baseline_r2,plus_r2,marginal_r2,marginal_ci_lo,marginal_ci_hi
primary,original,3336,gas|L3+mstar+tdep,0.3014158516873632,0.3281109711367001,0.026695119449336946,0.02127754701875195,0.038830007441258696
primary,original,3336,tdep|L3+mstar+gas,0.3282847105158835,0.3281109711367001,-0.00017373937918335747,-0.0009385669717883335,0.002509105647857258
primary,original,3336,model:L3,,0.1902099332201731,,,
primary,original,3336,model:L3+gas,,0.23981730528844425,,,
primary,original,3336,model:L3+sfr,,0.1963593210303312,,,
primary,original,3336,model:L3+tdep,,0.193114014551019,,,
primary,original,3336,model:L3+gas+tdep,,0.24888832541308942,,,
primary,upper_transition,418,gas|L3,0.15126632416927327,0.16731221615718642,0.016045891987913147,-0.003409943286642314,0.04503822928875748
primary,upper_transition,418,sfr|L3,0.15126632416927327,0.17281875336664565,0.02155242919737238,-0.004636431623645394,0.05260107173735865
primary,upper_transition,418,tdep|L3,0.15126632416927327,0.16774117189368615,0.016474847724412878,-0.01211586419971349,0.05126648791391705
primary,upper_transition,418,gas|L3+mstar,0.1521026751150244,0.180373855453738,0.028271180338713592,-0.0021902535150743916,0.05284269892622192
primary,upper_transition,418,sfr|L3+mstar,0.1521026751150244,0.17905384431729054,0.026951169202266145,-0.009522786328923534,0.04751367856558056
primary,upper_transition,418,tdep|L3+mstar,0.1521026751150244,0.18016397214376428,0.028061297028739884,-0.002881090783525177,0.054119937511606035
primary,upper_transition,418,gas|L3+mstar+tdep,0.18016397214376428,0.18115124683560171,0.0009872746918374309,-0.012868709890717495,0.021365028897198622
primary,upper_transition,418,tdep|L3+mstar+gas,0.180373855453738,0.18115124683560174,0.0007773913818637512,-0.015077053284524121,0.024112825501644276
primary,upper_transition,418,model:L3,,0.15126632416927327,,,
primary,upper_transition,418,model:L3+gas,,0.16731221615718642,,,
primary,upper_transition,418,model:L3+sfr,,0.17281875336664565,,,
primary,upper_transition,418,model:L3+tdep,,0.16774117189368615,,,
primary,upper_transition,418,model:L3+gas+tdep,,0.17360536707607532,,,
